5307,Student1,1997-03-07,A3,Java4
9362,Student2,2006-01-07,A2,Java3
5465,Student3,2006-02-20,A1,Java1
73,Student4,1997-11-01,A6,Java1
4716,Student5,2004-08-23,A1,Java1
1878,Student6,2003-08-04,A1,Java5
5112,Student7,1998-08-16,A8,Java5
6048,Student8,2015-04-16,A8,Java1
1811,Student9,2017-07-24,A1,Java3
5470,Student10,2011-11-17,A4,Java2
2028,Student11,1996-08-13,A7,Java4
8205,Student12,2012-07-13,A7,Java5
6845,Student13,2019-11-22,A4,Java3
8009,Student14,1998-04-07,A7,Java3
40,Student15,2013-03-07,A9,Java2
3472,Student16,1994-10-09,A8,Java4
1191,Student17,2007-11-10,A8,Java5
6715,Student18,2006-09-06,A8,Java5
3539,Student19,2000-04-25,A1,Java5
1200,Student20,2002-10-05,A1,Java5
3951,Student21,1995-09-20,A8,Java1
4363,Student22,2002-06-20,A9,Java2
7286,Student23,2013-11-18,A10,Java4
3523,Student24,2012-06-05,A1,Java1
5335,Student25,1991-11-15,A6,Java2
8096,Student26,1996-11-15,A10,Java5
9401,Student27,2010-06-15,A7,Java3
1938,Student28,2002-05-27,A9,Java2
6930,Student29,2016-01-15,A5,Java1
2196,Student30,1990-09-05,A9,Java5
6138,Student31,2016-09-11,A2,Java5
2518,Student32,2017-10-11,A1,Java5
7301,Student33,2008-02-13,A2,Java4
6498,Student34,2009-07-14,A10,Java3
5719,Student35,2003-11-20,A2,Java4
3758,Student36,2014-11-09,A6,Java5
856,Student37,1992-04-12,A4,Java3
8984,Student38,2001-03-19,A1,Java3
1343,Student39,1998-11-10,A4,Java2
5591,Student40,1992-11-28,A8,Java5
2979,Student41,1996-08-08,A8,Java2
2341,Student42,1995-02-23,A2,Java1
8117,Student43,2014-03-23,A1,Java1
3971,Student44,2000-04-03,A3,Java5
5186,Student45,2015-06-09,A2,Java4
4556,Student46,2012-02-04,A3,Java3
4829,Student47,2004-05-26,A8,Java3
1235,Student48,2013-06-26,A5,Java2
7762,Student49,2003-06-11,A7,Java2
8049,Student50,2003-06-26,A1,Java1
8078,Student51,1994-04-27,A2,Java5
685,Student52,2014-08-04,A6,Java5
659,Student53,2016-09-22,A2,Java1
5063,Student54,1995-09-01,A10,Java2
1343,Student55,2002-07-19,A8,Java3
2584,Student56,2007-07-21,A8,Java4
820,Student57,1999-08-06,A6,Java2
4105,Student58,1996-11-02,A8,Java5
3179,Student59,2004-07-11,A6,Java2
8652,Student60,2003-06-21,A8,Java1
794,Student61,2007-05-07,A4,Java1
6430,Student62,1999-02-13,A6,Java3
2062,Student63,2018-11-01,A8,Java5
4803,Student64,2008-10-09,A2,Java4
3306,Student65,2012-03-24,A4,Java5
388,Student66,2003-10-02,A4,Java1
774,Student67,2002-02-28,A6,Java4
7739,Student68,2017-03-07,A6,Java3
9675,Student69,1998-10-27,A2,Java5
4887,Student70,2001-10-27,A6,Java3
1059,Student71,2006-04-03,A7,Java2
8626,Student72,1992-05-25,A6,Java1
8566,Student73,2003-10-21,A6,Java1
7127,Student74,2012-01-26,A5,Java1
6247,Student75,1994-07-05,A9,Java2
6153,Student76,2015-07-24,A5,Java3
710,Student77,2004-10-01,A8,Java1
4646,Student78,2016-02-02,A2,Java2
4168,Student79,1991-06-28,A10,Java2
3938,Student80,2010-11-13,A9,Java3
4265,Student81,1991-06-01,A7,Java5
3352,Student82,1994-01-10,A3,Java3
9098,Student83,1991-06-09,A1,Java5
6674,Student84,2002-07-02,A4,Java1
9630,Student85,1998-09-10,A1,Java2
2018,Student86,2011-07-11,A2,Java4
7750,Student87,1994-10-28,A8,Java3
3505,Student88,2001-02-12,A7,Java3
917,Student89,1998-10-18,A8,Java3
6060,Student90,2001-01-09,A4,Java1
6150,Student91,2000-01-03,A9,Java1
8774,Student92,1991-09-01,A10,Java5
7298,Student93,1994-07-16,A10,Java1
9615,Student94,1990-11-09,A8,Java1
3335,Student95,2018-11-27,A1,Java5
5020,Student96,2004-07-10,A4,Java5
8427,Student97,1993-08-21,A3,Java1
856,Student98,2000-09-22,A2,Java3
6982,Student99,2008-10-24,A1,Java2
2112,Student100,2001-07-16,A4,Java5
1628,Student1,1992-05-15,A8,Java1
4581,Student2,2004-01-27,A9,Java2
4121,Student3,2019-06-02,A10,Java2
5534,Student4,1996-06-10,A7,Java4
3986,Student5,2014-05-18,A3,Java2
5848,Student6,2009-07-18,A1,Java4
378,Student7,1995-07-01,A2,Java3
5449,Student8,2008-07-06,A5,Java5
9378,Student9,2013-09-07,A7,Java2
6664,Student10,2017-03-04,A6,Java3
3377,Student11,1994-09-10,A1,Java1
5103,Student12,1999-10-11,A1,Java3
8060,Student13,1999-02-25,A7,Java5
7572,Student14,2013-10-26,A1,Java4
632,Student15,1990-09-25,A2,Java1
8255,Student16,1997-01-08,A5,Java4
3986,Student17,1999-02-08,A2,Java3
5309,Student18,2018-11-27,A5,Java2
5208,Student19,2017-01-21,A1,Java2
3083,Student20,2017-05-14,A2,Java3
4554,Student21,2018-01-20,A5,Java3
470,Student22,2006-02-14,A3,Java3
2801,Student23,1996-02-03,A8,Java1
2262,Student24,1993-03-25,A6,Java1
584,Student25,2006-09-19,A2,Java3
3107,Student26,2013-01-07,A1,Java4
5183,Student27,1990-10-19,A9,Java3
3927,Student28,2008-07-06,A8,Java5
8949,Student29,2001-05-06,A6,Java3
8442,Student30,2015-01-26,A1,Java5
8150,Student31,1996-08-23,A10,Java1
3236,Student32,1995-10-05,A9,Java5
2299,Student33,2012-11-09,A1,Java2
4005,Student34,1993-01-28,A6,Java4
7160,Student35,2001-09-18,A1,Java5
633,Student36,1999-11-23,A9,Java4
727,Student37,2007-06-27,A10,Java5
2831,Student38,2015-07-16,A6,Java4
8890,Student39,2004-05-05,A1,Java4
9439,Student40,2018-07-15,A1,Java5
2678,Student41,1992-01-02,A6,Java4
6291,Student42,1999-11-17,A10,Java5
2179,Student43,1998-05-01,A6,Java3
2038,Student44,2005-11-04,A2,Java5
6169,Student45,2002-07-09,A8,Java4
7457,Student46,1994-06-04,A1,Java3
446,Student47,2012-02-11,A9,Java4
9149,Student48,2009-04-24,A9,Java5
482,Student49,1991-05-28,A4,Java4
3273,Student50,2009-05-07,A7,Java3
8387,Student51,2001-10-18,A10,Java2
8516,Student52,1992-03-17,A5,Java3
1989,Student53,2004-05-05,A1,Java5
5679,Student54,2015-06-13,A3,Java2
5058,Student55,2010-02-10,A1,Java5
369,Student56,2013-01-18,A6,Java5
1624,Student57,2016-01-11,A2,Java1
918,Student58,1993-07-20,A8,Java2
1257,Student59,1993-04-27,A7,Java3
2649,Student60,2010-11-01,A5,Java3
2964,Student61,1990-09-26,A5,Java1
757,Student62,1992-01-16,A2,Java1
3082,Student63,2014-11-04,A5,Java4
3651,Student64,1991-04-10,A5,Java4
9571,Student65,2013-01-16,A7,Java4
5397,Student66,2011-02-28,A2,Java5
2039,Student67,1991-06-11,A4,Java1
5706,Student68,1991-03-16,A10,Java1
2928,Student69,2011-05-27,A6,Java5
9473,Student70,2003-08-28,A2,Java5
5349,Student71,1999-09-26,A9,Java3
6488,Student72,2013-04-01,A9,Java5
907,Student73,2007-08-08,A5,Java1
6086,Student74,2019-04-10,A6,Java2
5277,Student75,2012-10-22,A6,Java4
7771,Student76,2009-03-18,A8,Java5
4115,Student77,1993-11-24,A3,Java3
1042,Student78,2006-08-28,A7,Java4
8583,Student79,2014-04-07,A3,Java3
6500,Student80,2005-02-13,A3,Java2
7466,Student81,2006-07-04,A10,Java4
2309,Student82,1991-02-02,A2,Java1
3518,Student83,2008-04-20,A5,Java2
8388,Student84,1996-05-13,A5,Java5
9813,Student85,1993-05-01,A5,Java5
5219,Student86,2001-01-11,A2,Java2
799,Student87,2009-11-22,A5,Java5
191,Student88,1990-04-12,A5,Java4
9770,Student89,2019-06-07,A6,Java5
4033,Student90,2007-03-23,A7,Java2
3754,Student91,2005-11-20,A4,Java1
3849,Student92,2006-10-21,A5,Java1
7841,Student93,2016-11-21,A8,Java2
9460,Student94,2002-02-02,A5,Java3
8624,Student95,2002-08-27,A4,Java3
4396,Student96,2013-09-27,A10,Java5
6756,Student97,1994-03-09,A5,Java4
5685,Student98,2019-04-14,A9,Java3
1652,Student99,2008-06-06,A10,Java5
8080,Student100,2019-09-07,A6,Java2
